year,game_datetime,game_pk,position,AB,OBP,SLG,OPS
2014,2014-04-29T23:10:00Z,380926,P,3,0.333,0.333,0.667
2014,2014-04-30T02:15:00Z,380936,P,2,0.0,0.0,0.0
2014,2014-04-30T01:40:00Z,380929,P,2,0.0,0.0,0.0
2014,2014-04-30T17:45:00Z,380947,P,4,0.25,0.5,0.75
2014,2014-04-30T23:10:00Z,380942,P,2,0.0,0.0,0.0
2014,2014-04-30T23:10:00Z,380941,P,2,0.0,0.0,0.0
2014,2014-05-01T01:40:00Z,380944,P,2,0.0,0.0,0.0
2014,2014-05-01T02:15:00Z,380951,P,2,0.5,0.5,1.0
2014,2014-05-01T23:10:00Z,380956,P,1,0.0,0.0,0.0
2014,2014-05-02T00:40:00Z,380959,P,3,0.333,0.333,0.667
2014,2014-05-01T23:10:00Z,380958,P,3,0.0,0.0,0.0
2014,2014-06-02T23:05:00Z,380948,P,1,0.0,0.0,0.0
2014,2014-05-02T18:20:00Z,380973,P,3,0.0,0.0,0.0
2014,2014-05-02T23:05:00Z,380977,P,2,0.0,0.0,0.0
2014,2014-05-02T23:05:00Z,380976,P,1,0.5,0.0,0.5
2014,2014-05-02T23:10:00Z,380967,P,2,0.0,0.0,0.0
2014,2014-05-02T23:10:00Z,380968,P,2,0.0,0.0,0.0
2014,2014-05-02T23:35:00Z,380972,P,2,0.5,0.5,1.0
2014,2014-05-03T00:40:00Z,380969,P,1,0.0,0.0,0.0
2014,2014-05-03T17:05:00Z,380988,P,2,0.0,0.0,0.0
2014,2014-05-03T23:05:00Z,380991,P,1,0.0,0.0,0.0
2014,2014-05-03T02:10:00Z,380963,P,1,0.0,0.0,0.0
2014,2014-05-03T23:05:00Z,380992,P,3,0.0,0.0,0.0
2014,2014-05-03T23:10:00Z,380987,P,2,0.0,0.0,0.0
2014,2014-05-03T23:10:00Z,380983,P,3,0.333,0.333,0.667
2014,2014-05-03T23:10:00Z,380982,P,1,0.0,0.0,0.0
2014,2014-05-04T00:10:00Z,380984,P,1,0.0,0.0,0.0
2014,2014-05-04T00:40:00Z,380978,P,1,1.0,1.0,2.0
2014,2014-05-04T17:35:00Z,381006,P,1,0.0,0.0,0.0
2014,2014-05-04T17:10:00Z,380997,P,2,0.0,0.0,0.0
2014,2014-05-04T19:05:00Z,381007,P,1,0.0,0.0,0.0
2014,2014-05-04T17:35:00Z,381002,P,0,,,
2014,2014-05-04T20:10:00Z,380993,P,1,0.0,0.0,0.0
2014,2014-05-05T00:05:00Z,381003,P,1,1.0,1.0,2.0
2014,2014-05-04T20:10:00Z,380999,P,1,0.0,0.0,0.0
2014,2014-05-04T20:10:00Z,380998,P,2,0.0,0.0,0.0
2014,2014-05-05T23:05:00Z,381012,P,1,1.0,1.0,2.0
2014,2014-05-05T23:05:00Z,381017,P,2,0.0,0.0,0.0
2014,2014-05-05T23:10:00Z,381018,P,1,0.0,0.0,0.0
2014,2014-05-05T23:05:00Z,381020,P,2,0.0,0.0,0.0
